announcement_id,sec_code,sec_name,announcement_title,reason,retries
1225047129,601033,永兴股份,永兴股份2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225034515,601038,一拖股份,一拖股份2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225058218,601059,信达证券,信达证券股份有限公司2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225031793,601061,中信金属,中信金属股份有限公司2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225038421,601066,中信建投,中信建投证券股份有限公司2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225048794,601068,中铝国际,中铝国际工程股份有限公司2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225032224,601077,渝农商行,重庆农村商业银行股份有限公司2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225052350,601112,振石股份,浙江振石新材料股份有限公司2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225028770,601117,中国化学,中国化学2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225025430,601126,四方股份,四方股份2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225053031,601127,赛力斯,2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
1225022492,601136,首创证券,2025年年度报告,"Download failed after 4 attempts: <urlopen error [Errno 8] nodename nor servname provided, or not known>",3
